model-1584995025, 1584995064.766, 0.58, 0.2376,0.65, 0.2286
model-1584995025, 1584995064.997, 0.59, 0.2471,0.7, 0.2246
model-1584995025, 1584995065.231, 0.65, 0.2219,0.68, 0.2247
model-1584995025, 1584995065.463, 0.57, 0.2358,0.71, 0.2129
model-1584995025, 1584995065.693, 0.55, 0.2395,0.6, 0.2335
model-1584995025, 1584995065.926, 0.53, 0.2356,0.6, 0.2275
model-1584995025, 1584995066.156, 0.57, 0.236,0.68, 0.2242
model-1584995025, 1584995066.388, 0.6, 0.2434,0.65, 0.2176
model-1584995025, 1584995066.616, 0.57, 0.2363,0.61, 0.2362
model-1584995025, 1584995066.844, 0.53, 0.2412,0.74, 0.2096
model-1584995025, 1584995067.074, 0.64, 0.2264,0.62, 0.2236
model-1584995025, 1584995067.3, 0.56, 0.2419,0.59, 0.2363
model-1584995025, 1584995067.528, 0.5, 0.2522,0.51, 0.2522
model-1584995025, 1584995067.761, 0.59, 0.2359,0.66, 0.2248
model-1584995025, 1584995067.993, 0.59, 0.2326,0.62, 0.2311
model-1584995025, 1584995068.225, 0.58, 0.2376,0.63, 0.217
model-1584995025, 1584995068.459, 0.68, 0.2155,0.59, 0.2287
model-1584995025, 1584995068.695, 0.62, 0.2243,0.66, 0.2365
model-1584995025, 1584995068.926, 0.51, 0.253,0.58, 0.2361
model-1584995025, 1584995069.156, 0.61, 0.2395,0.65, 0.2243
model-1584995025, 1584995069.385, 0.59, 0.2413,0.65, 0.2231
model-1584995025, 1584995069.611, 0.58, 0.2211,0.7, 0.2083
model-1584995025, 1584995069.84, 0.6, 0.2274,0.57, 0.2396
model-1584995025, 1584995070.071, 0.66, 0.205,0.72, 0.211
model-1584995025, 1584995070.301, 0.61, 0.2427,0.61, 0.2263
model-1584995025, 1584995070.529, 0.64, 0.2181,0.56, 0.2505
model-1584995025, 1584995070.76, 0.63, 0.2271,0.56, 0.2323
model-1584995025, 1584995070.988, 0.54, 0.2576,0.58, 0.2404
model-1584995025, 1584995071.222, 0.68, 0.21,0.58, 0.2238
model-1584995025, 1584995071.456, 0.62, 0.2342,0.52, 0.241
model-1584995025, 1584995071.7, 0.72, 0.2165,0.7, 0.2056
model-1584995025, 1584995071.931, 0.58, 0.2339,0.61, 0.2282
model-1584995025, 1584995072.168, 0.67, 0.2203,0.62, 0.2234
model-1584995025, 1584995072.4, 0.65, 0.2224,0.63, 0.2231
model-1584995025, 1584995072.633, 0.58, 0.2298,0.6, 0.2177
model-1584995025, 1584995072.865, 0.65, 0.2272,0.69, 0.2138
model-1584995025, 1584995073.097, 0.62, 0.2227,0.63, 0.2208
model-1584995025, 1584995073.334, 0.63, 0.222,0.67, 0.2215
model-1584995025, 1584995073.567, 0.66, 0.2144,0.62, 0.2328
model-1584995025, 1584995073.8, 0.59, 0.2411,0.63, 0.218
model-1584995025, 1584995074.035, 0.64, 0.2276,0.6, 0.2469
model-1584995025, 1584995074.265, 0.68, 0.2326,0.62, 0.2337
model-1584995025, 1584995074.498, 0.54, 0.2549,0.71, 0.2081
model-1584995025, 1584995074.734, 0.57, 0.2474,0.53, 0.2523
model-1584995025, 1584995074.963, 0.59, 0.2299,0.6, 0.2278
model-1584995025, 1584995075.195, 0.6, 0.2327,0.64, 0.212
model-1584995025, 1584995075.43, 0.71, 0.2089,0.65, 0.2309
model-1584995025, 1584995075.661, 0.64, 0.2315,0.71, 0.2068
model-1584995025, 1584995075.891, 0.62, 0.2407,0.6, 0.2277
model-1584995025, 1584995076.122, 0.61, 0.2298,0.61, 0.2381
model-1584995025, 1584995076.353, 0.6, 0.2356,0.71, 0.2197
model-1584995025, 1584995076.584, 0.57, 0.2393,0.69, 0.222
model-1584995025, 1584995076.818, 0.58, 0.2236,0.55, 0.237
model-1584995025, 1584995077.048, 0.52, 0.2483,0.64, 0.2189
model-1584995025, 1584995077.278, 0.72, 0.2107,0.76, 0.2012
model-1584995025, 1584995077.509, 0.71, 0.2147,0.72, 0.21
model-1584995025, 1584995077.746, 0.6, 0.2245,0.65, 0.2161
model-1584995025, 1584995077.979, 0.57, 0.2329,0.54, 0.2489
model-1584995025, 1584995078.208, 0.63, 0.2198,0.61, 0.2169
model-1584995025, 1584995078.44, 0.71, 0.209,0.67, 0.2069
model-1584995025, 1584995078.667, 0.51, 0.253,0.67, 0.2192
model-1584995025, 1584995078.833, 0.6, 0.222,0.64, 0.2244
model-1584995025, 1584995079.069, 0.64, 0.2342,0.65, 0.2073
model-1584995025, 1584995079.299, 0.65, 0.203,0.6, 0.2325
model-1584995025, 1584995079.531, 0.63, 0.2222,0.65, 0.2251
model-1584995025, 1584995079.756, 0.56, 0.2485,0.64, 0.2287
model-1584995025, 1584995079.987, 0.56, 0.2479,0.69, 0.2184
model-1584995025, 1584995080.217, 0.66, 0.2234,0.63, 0.2284
model-1584995025, 1584995080.45, 0.62, 0.2332,0.67, 0.2113
model-1584995025, 1584995080.677, 0.7, 0.2144,0.62, 0.234
model-1584995025, 1584995080.906, 0.65, 0.2282,0.65, 0.2196
model-1584995025, 1584995081.138, 0.62, 0.2236,0.65, 0.2037
model-1584995025, 1584995081.369, 0.65, 0.2314,0.69, 0.2041
model-1584995025, 1584995081.599, 0.61, 0.2308,0.65, 0.229
model-1584995025, 1584995081.834, 0.65, 0.2098,0.64, 0.2141
model-1584995025, 1584995082.067, 0.63, 0.2333,0.65, 0.207
model-1584995025, 1584995082.301, 0.68, 0.2114,0.68, 0.2126
model-1584995025, 1584995082.531, 0.57, 0.2537,0.77, 0.1936
